Sentiment_Manual,Sentiment_Bert,Date,Username,Tweet,Phase
neutral,neutral,2021-11-02 11:48:00,The_FullFrontal,year yearold zulfarhan osmans death allege assailant receive sentence,Phase 3
negative,negative,2019-08-01 02:08:00,MrHairulAnuar,read chronology arwah zulfarhan osman besides culprit order enter defence really hope trainer spread surat layang via whatsapp court martialed,Phase 2
negative,negative,2019-01-25 13:18:00,yayazarif,kalau kena mandatori orang takpe mak ayah kehilangan anak teruk tahu dak ee gerammm,Phase 2
neutral,neutral,2025-02-28 05:30:00,NewsBFM,six former upnm student escape death penalty navy cadet officer zulfarhan osman zulkarnain federal court grant appellant appeal reduce sentence murder year prison culpable homicide amount,Phase 4
neutral,neutral,2017-11-17 11:40:00,SCMPNews,malaysian tragedy torture murder cadet zulfarhan osman,Phase 1
neutral,neutral,2019-11-05 15:36:00,lawreviewUM,accuse apologises family murder cadet officer muhammad azamuddin mad sofi second take witness stand tear apologised member zulfarhan osman zulkarnain die physical abuse,Phase 2
negative,negative,2025-03-01 03:11:00,Naz11Mr,claim pengalaman pahit wah senang kau dah lesap nyawa anak orang know² mengaku insafingat insaf hidupkan balik keharap kena bedok jail,Phase 4
positive,positive,2021-11-03 08:33:00,ParisAr42442891,tiada katakata nak titipkan ibu bapa arwah melainkan doa moga sentiasa yakin bahawa allah maha adil kuatkan semangat bersama penyayang,Phase 3
positive,positive,2024-05-16 08:55:00,Mukhlis09_,hutang darah dibayar,Phase 3
positive,positive,2018-06-29 11:55:00,tj_wong,god bless universiti reason need lawyer like good self defend innocent,Phase 2
neutral,neutral,2025-03-01 03:11:00,imannuraim,dark side court case defend anything lessen charge againts client,Phase 4
positive,positive,2019-07-31 03:54:00,jass_fun,jauh perjalanan kes semoga allah permudahkan,Phase 2
negative,negative,2025-03-01 05:36:00,syima_hamzah,maybe pakar kene buat case study seterika berkalikali sampai masak isi terima rawatan asap baru buktikan mati buatlah dekat salah seorang pesalah janjikan terlepas hukuman sebab volunteer diri,Phase 4
negative,negative,2025-03-01 10:49:00,siodelta,tapi mangsa telah meninggal dunia amp sek kk tetapkan hukuman penjara maksimum tahun,Phase 4
positive,negative,2024-07-24 13:13:00,TautanKasih,budaya buli harus dihapuskan impak nya besar menjadi trauma mendalam,Phase 4
negative,negative,2025-02-28 22:58:00,inseqyo,kalau kena saterika tiada dapat luka berdarah semua takdelah datang infection takkan nak kata disebabkan tikam pisau direct jantung dikira faktor utama amende sia,Phase 4
neutral,neutral,2024-05-16 12:53:00,Juanescoba3,nak tanye bomoh budakbudak jumpa bagitau zulfarhan curi laptop kena hukuman,Phase 3
negative,negative,2019-01-24 07:11:00,ShashaGurlz96,kesian arwah hmmdekat dunia lari manusia kome tipu tapi bila allah sampai akhirat weyh tanggung,Phase 2
neutral,neutral,2024-07-25 05:44:00,fauzitahir8098,kapten haryani jantan betina,Phase 4
positive,positive,2021-11-04 08:47:00,ChePutih7,alhamdulillah moga tenang bonda bapa arwah disana bila keadaan dpandang seriusrakyat lebih,Phase 3
negative,negative,2018-06-30 01:45:00,norarsmn,sambil baca terbayangkan macam mana arwah kena seksa,Phase 2
positive,positive,2024-07-23 05:31:00,embunkarinaword,alhamdulillah,Phase 4
positive,positive,2024-05-16 04:23:00,Syarklovett,setuju supaya pengajaran amp perkara berlaku hukuman penjara seumur hidup ringan bagi,Phase 3
positive,positive,2024-05-16 01:38:00,dycoldie,mantap hutang nyawa dibayar,Phase 3
negative,negative,2024-07-26 14:23:00,_xxw4,upnm memang babi banyak gila kes buli tetapi senyap buat bodo la ada public statement sebab bangga budaya macam kampus tutup,Phase 4
neutral,neutral,2025-03-01 03:50:00,norris_anggun71,saksi bab sp dr salmah arshad punca jahanam lepas bagaimanapun hakim hasnah berkata telah mengubah pernyataannya ketika disoal peguam semasa perbicaraan menyatakan kesan kebakaran peratus menyebabkan kematian tetapi semestinya mati,Phase 4
negative,negative,2025-02-28 12:43:00,HatiHitam_,buang hukum gantung macam der function esok bunuh orang kata dah insaf dapat bebas ada banduan kena ingat,Phase 4
positive,positive,2025-03-01 02:08:00,aerinheavenzz,ye betul la insaf alhamdulillah tetapi mati dibalas dek nanti dekat mahsyar susah dah waktu,Phase 4
positive,positive,2024-07-23 05:31:00,embunkarinaword,alhamdulillah,Phase 4
positive,positive,2024-07-26 16:02:00,sha_hussin,kalau bantuan kewangan upah lawyer malaysia sudi bantu,Phase 4
neutral,neutral,2019-07-31 12:18:00,NewsBFM,national defence university malaysia student order kl high court enter murder case cadet officer zulfarhan osman zulkarnain come prosecution successfully prove prima facie end submission,Phase 2
neutral,neutral,2020-12-30 09:03:00,hsceria_,sir tahu apa beza pendakwa raya timbalan siapakah orang memegang jawatan tersebut agc semuanya adakah seorang peguam asalnya menjadi bela okt lain,Phase 2
negative,negative,2021-11-02 08:40:00,iman__210,layak talus gantung ja nyawa dibayar la tahun dok dekat penjara mna cukup,Phase 3
positive,positive,2024-07-24 15:30:00,SirHishamMahir,semoga tenang roh arwah sana syurga nanti rasa dah siksa dunia allah terbayang kalau kena macam,Phase 4
positive,positive,2024-07-23 04:58:00,_user131095,alhamdulillah,Phase 4
neutral,neutral,2024-07-25 05:11:00,TaufiqMNi,baru pertama kali tengok semula surat semenjak kejadian,Phase 4
positive,positive,2024-07-23 05:01:00,rdnaiman,pengajaran si kaki buli dah bagitahu anak masing jangan usik orang dekat sekolah,Phase 4
neutral,neutral,2025-03-01 03:11:00,imannuraim,dark side court case defend anything lessen charge againts client,Phase 4
negative,negative,2021-11-03 05:05:00,arhaj1,sedih kesian kepada arwah serta keluarga pelaku harapan masa depan hancur bagi diri amp kebodohan ego apakah masyarakat malaysia kini insaf mengambil ikhtibar sepenuhnya insiden bukan kali seterika panas,Phase 3
neutral,neutral,2021-11-07 16:55:00,NST_Online,nstopinion tuesday kualalumpur highcourt judge datuk azman abdullah hand year jail sentence six university student convict commit culpable homicide death cadet officer zulfarhan osman zulkarnain,Phase 3
negative,negative,2024-07-23 04:55:00,hunn_dm,sebelum gantung seterika dulu badan pembunuhpembunuh,Phase 4
neutral,neutral,2021-11-03 00:42:00,rahmatrashid,siapa kah doktor klinik swasta bertanggung jawab,Phase 3
negative,negative,2025-03-01 04:48:00,Bvt__,takyah penjara la kalau macam hukuman biar sama apa arwah kena,Phase 4
positive,positive,2024-05-16 03:14:00,SuaraHitamPutih,doakan baikbaik agar ketika menjalani hukuman bertemu hidayah,Phase 3
positive,negative,2018-06-30 02:16:00,dnonfire,painful read may justice prevail thought decease parent,Phase 2
neutral,neutral,2021-11-02 15:25:00,NewsBFM,zulfarhans mother hawa osman say become paranoid allow child pursue study far home still traumatise happen eldest son trauma membenarkan anakanak lain memasuki badan beruniform,Phase 3
negative,negative,2024-11-09 04:35:00,dauskatang,upnm dah lubuk menghasilkan pembuli apa pihak atasan buat selama lama budaya buli bersarang,Phase 4
positive,positive,2024-07-23 04:54:00,Shadow_Kurou,alhamdulillah justice serve,Phase 4
positive,positive,2024-07-24 13:27:00,iAmAreyap,alhamdulillah,Phase 4
neutral,neutral,2019-01-23 13:10:00,NST_Online,nstcourt witness saw one accuse cadet marine officer zulfarhan osman zulkarnain murder case hold steam iron,Phase 2
neutral,neutral,2018-10-26 09:21:00,baikragu,next hearing th october friend send poisonpen letter abuse zulfarhan osman avoid similar treatment malay mail,Phase 2
positive,positive,2019-07-08 15:19:00,qamraqurratuain,semoga ada justice boy please,Phase 2
neutral,neutral,2021-11-03 01:32:00,onceadarn,siapa curi laptop sebenarnya memang betul hilang jumpa sampai wujud serius tolong,Phase 3
negative,negative,2024-07-26 12:41:00,RashidA29116602,minta bebudak support sepertiga gaji sepanjang hayat kemdianvlebllihan infaq atas nama alzulfarhan,Phase 4
neutral,neutral,2024-07-25 05:44:00,fauzitahir8098,kapten haryani jantan betina,Phase 4
negative,negative,2021-11-02 09:12:00,cumie94,tetapi elok jugak penjara bila habis tempoh hukuman keluar rasa diterima masyarakat seksa,Phase 3
negative,negative,2024-07-23 04:47:00,MohdHan23772540,sedih tengok mak ayah,Phase 4
negative,negative,2019-01-24 02:50:00,szehighli5ht,bully totally acceptable cane mother felt sad hurt look amount injury boy body one deserve die manner may world peace love,Phase 2
positive,positive,2024-07-24 04:58:00,edwinbazz,gantung menara petronas biadab,Phase 4
neutral,neutral,2024-07-25 14:00:00,NewsBFM,suhakam say share grief anguish family zulfarhan osman zukarnain recognise severity crime however sentence six exunpm student death mark sad solemn day malaysias judicial history,Phase 4
positive,positive,2024-07-23 21:10:00,KmlSrh,sedih arwah lega dah win,Phase 4
neutral,neutral,2019-07-09 06:55:00,noorsafiaa,maaf nak tanya okt apa,Phase 2
positive,positive,2024-07-26 12:58:00,snh7710,saman pakcik makcik bagi puashati nanti menyesal kalau,Phase 4
positive,positive,2019-07-09 06:31:00,sayabaiktaw,doa jela,Phase 2
positive,positive,2024-07-23 04:54:00,Shadow_Kurou,alhamdulillah justice serve,Phase 4
positive,positive,2024-05-16 01:38:00,dycoldie,mantap hutang nyawa dibayar,Phase 3
negative,negative,2024-07-25 05:57:00,arifakib1,nyawa hilang disebabkan ketidakpedulian mempunyai kuasa bertindak,Phase 4
negative,negative,2025-03-01 10:39:00,softbalm_,sengaja kepala bana kau la barua,Phase 4
neutral,neutral,2017-06-02 23:23:00,mynameissyauqi,want aware bullyingturned murder case half hour agozulfarhan osman bin zulkarnain navy cadet upnm pass yo,Phase 1
negative,negative,2024-07-24 23:25:00,amirulfahmis,kepada doktor azfar bin hussin klinik salam kau memang babi ye nak duit report polis lepas tengok si mati kesan lecur sebanyak lebam kena tumbuk patut tarik lesen masuk jail atas kecuaian,Phase 4
neutral,neutral,2019-07-10 10:55:00,fqfaiq,lawyer dorang bela sampai lepas terus supaya kurangkan hukuman,Phase 2
neutral,neutral,2024-07-24 00:51:00,sinardailymy,court appeal today impose death sentence six former student universiti pertahanan nasional malaysia upnm murder navy cadet officer zulfarhan osman zulkarnain seven year ago bully crime,Phase 4
negative,negative,2025-02-28 22:58:00,inseqyo,kalau kena saterika tiada dapat luka berdarah semua takdelah datang infection takkan nak kata disebabkan tikam pisau direct jantung dikira faktor utama amende sia,Phase 4
neutral,neutral,2021-11-03 07:07:00,ZyiteGadgets,verdict naval cadet zulfarhan osmans case hisham warn upnm armed force never let heinous act recur,Phase 3
neutral,neutral,2024-07-26 09:49:00,malaymail,parent late zulfarhan osman today say none individual responsible son death come forward apologise since incident radio interview father zulkarnain idros mother hawa accuse,Phase 4
positive,positive,2024-07-23 04:53:00,yoizfxiz,alhamdulillah,Phase 4
negative,negative,2017-11-29 13:54:00,amieyrazmi_,happy birthday arwah zulfarhan osman,Phase 1
negative,negative,2024-07-23 15:11:00,amirullzamani2,pembunuh jahanam polis calon spm polo nur farah kartini,Phase 4
negative,negative,2024-07-25 05:05:00,farahhana1982,genuine question student upnm masa ada curfew keluar tujukan surat pihak luarpolis bagaimana handphone call,Phase 4
positive,positive,2024-05-16 06:35:00,nursyamim_rosli,sokong nyawa balas nywa,Phase 3
positive,positive,2024-07-23 20:50:00,Izzatiizzlyn,alhamdulillahallah pernah tidur,Phase 4
neutral,neutral,2021-03-30 12:14:00,bernamadotcom,upnm student tell kuala lumpur high court today someone punch cadet marine officer zulfarhan osman zulkarnain victim room university jebat hostel building,Phase 2
negative,negative,2021-11-02 09:29:00,LadyD25747613,cukup benci buli dijadikan perkara normal budakbudak asrama mengarut ja la kalau orang kata nak suruh junior belajar hormat ada jati diri kuat kepala hotak korang pengetua cikgu penyelia tolong tunggu anak mati baru bertindak,Phase 3
neutral,neutral,2018-08-16 14:26:00,malaymail,friend send poisonpen letter abuse zulfarhan osman avoid similar treatment,Phase 2
negative,positive,2024-07-26 11:30:00,AF1070159930,samannnn,Phase 4
negative,neutral,2020-09-07 15:36:00,AzliyatunShima,sicken reminds zulfarhan osman case,Phase 2
neutral,neutral,2021-11-02 04:02:00,NewsBFM,kuala lumpur high court find six upnm student guilty culpable homicide amount murder marine cadet officer zulfarhan osman section penal code escape gallows judge group intent,Phase 3
positive,positive,2024-07-24 04:58:00,edwinbazz,gantung menara petronas biadab,Phase 4
negative,negative,2025-02-28 15:21:00,raimirusyaidii,insaf acik keluar mahkamah sengih kambing padahal baru buat perbuatan jenayah bangsat betul lahh penjara er lanceret punya budak,Phase 4
positive,positive,2024-07-25 00:05:00,doktunggulagi,ambil pengajaran kisah tahu ujian kelak kalau ikutkan tertuduh cuma tekap sekali sahaja tapi talus gantung iktibar perkara belajar katakan satusatu arahan terutama sedang alam pekerjaan,Phase 4
positive,positive,2021-11-03 06:47:00,fakruddinkdo,semoga arwah dicucuri rahmat,Phase 3
positive,positive,2024-07-23 20:50:00,Izzatiizzlyn,alhamdulillahallah pernah tidur,Phase 4
neutral,neutral,2018-10-26 09:21:00,baikragu,next hearing th october friend send poisonpen letter abuse zulfarhan osman avoid similar treatment malay mail,Phase 2
negative,negative,2018-06-29 10:28:00,maxxximus46,normal everyone soft side honest decease suffer lot,Phase 2
positive,positive,2024-07-26 12:41:00,Mast851,sangat setuju sangatgo go,Phase 4
positive,positive,2024-02-14 10:48:00,Mariya_takeuci,year already alfatihah zulfarhan osman,Phase 3
negative,negative,2024-11-08 07:56:00,Tengku_Rak_,dah ada kes duluan lakukan kesalahan sama masuk universiti tapi msih paloi,Phase 4
neutral,neutral,2024-06-18 13:41:00,Margare96602396,navy cadet burn death hot iron bullies｜zulfarhan osman via,Phase 3
neutral,neutral,2024-11-01 03:15:00,malaymail,father murder army cadet zulfarhan osman zulkarnain express sadness abuse still happen universiti pertahanan nasional malaysia upnm harian metro cite idros say shock similar suffer late son,Phase 4
negative,negative,2021-11-03 06:59:00,adzuwanab,budakbudak penjara jatuh sabun atas lantai harihari,Phase 3
negative,negative,2025-03-01 02:06:00,syaminzamri_,let kill people say opps sengaja oh dah insaf fucker sick head normal manusia takkan tekap orang pakai seterika expect sihat rot hell yall jahanam,Phase 4
negative,negative,2025-02-28 12:10:00,shahnisa_99,kesian tengok wajah parent arwah rasa macam fair keluarga,Phase 4
negative,negative,2024-07-24 14:49:00,dannyhaiqal15,nak tanya satu dekat babimacam mana kau hidup tidur makan bernafas tenang lepas seksa bunuh orang,Phase 4
neutral,neutral,2021-11-01 07:33:00,NST_Online,nstnation university pertahanan nasional malaysia upnm student stand trial death cadet officer zulfarhan osman zulkarnain four year ago learn fate tomorrow,Phase 3
positive,positive,2024-07-25 12:50:00,KenDjoko,hebat malaysia indonesia ga ada hukuman tegas begini sini cuma penjara relatif ringan kasus pembunuhan santri pesantren siswa sekolah kedinasan semua hangat tai ayam,Phase 4
neutral,neutral,2021-11-02 05:22:00,TMReserve,six upnm student find guilty culpable homicide death zulfarhan osman court,Phase 3
neutral,neutral,2024-07-23 06:30:00,WORLDOFBUZZ,court appeal reinstate death penalty exupnm student murder zulfarhan osman,Phase 4
negative,negative,2025-03-01 07:31:00,amirbetul,sabar tunggu dorang kluar takda niat gitu menyesal,Phase 4
neutral,neutral,2021-11-02 06:46:00,NewsBFM,six upnm student sentence year prison cause death marine cadet officer zulfarhan osman four ago kuala lumpur high court order men serve jail sentence date arrest,Phase 3
positive,positive,2024-05-16 06:35:00,nursyamim_rosli,sokong nyawa balas nywa,Phase 3
negative,negative,2024-11-08 23:44:00,wnyadnn,kau kenapa dek tau akak terkena wap melompat inikan plak p tekap dekat bdn kawan amende,Phase 4
negative,negative,2021-11-03 05:40:00,Zulyanaayahya,masalahnya kalau tekup sekali la nak kata mencederakan sampai geram betul takkan terfikir consequence lepas kau iron orang sihat walafiat pemikiran cap ayam mangkuk semua,Phase 3
neutral,neutral,2019-01-23 23:08:00,xziexdnxn,alfatihah arwah adib,Phase 2
positive,positive,2025-03-01 04:23:00,parkmart2010,semoga allah berikan pembalasan kepada pesalah tersebut dunia walaupun terlepas hukuman undangundang manusia,Phase 4
negative,negative,2024-07-24 11:46:00,mel_abu,sekarang kau puji hakimdan badan kehakimanmasa najib kena jatuh hukum hentam kehakiman apa lanampak sangat makan dedak,Phase 4
neutral,neutral,2019-11-05 12:45:00,staronline,first accuse murder universiti pertahanan nasional malaysia upnm naval cadet officer zulfarhan osman zulkarnain admit place hot iron victim sole knee,Phase 2
negative,negative,2021-11-04 14:41:00,MAISARAHOTHMAN_,pecat ambil tindakan atas semua terlibat jenayah berat tiada kompromi,Phase 3
positive,positive,2018-05-31 16:36:00,_lalawatson,year sahabat laugh amp joke share thought nonsense tear madness alfatihah zulfarhan osman know great,Phase 2
positive,positive,2024-05-16 04:23:00,Syarklovett,setuju supaya pengajaran amp perkara berlaku hukuman penjara seumur hidup ringan bagi,Phase 3
negative,negative,2024-07-25 08:37:00,kabutneaubilem,rasa hayani dah bekas kapten harapnya membazir duit bayar gaji,Phase 4
negative,negative,2019-01-25 04:24:00,lynnmael,harapharap lunyai kena pijak seniorsenior penjara kelak jangan bagi mati pecah patah riuk pastu belum sembuh sangat tetapi dah sampai semula amin rabbal alamin,Phase 2
negative,negative,2025-02-28 13:38:00,ki5hikaisei,try letak tangan dekat seterika tengok mampus kene tekap satu badan takkan la menyebabkan kematian nonsense,Phase 4
positive,positive,2024-07-24 08:30:00,lyurcid,heard happen zulfarhan osman omfg inalillah may soul comfort granted jannah allah give parent strength,Phase 4
neutral,neutral,2024-07-26 09:14:00,Slackjaw8297,may zulfarhan osman student national defence university malaysia upnm severely assault fellow student upnmcase,Phase 4
negative,negative,2024-11-08 18:23:00,syawallllllllll,ban la iron dekat upnm biar pakai kedut dr makin teruk kes orang sana sini macam ambik pengajaran even sebelum ada besar,Phase 4
positive,positive,2024-07-23 11:50:00,dylakarim,alhamdulillah hapuskan pembulipembuli malaysia payah ada rasa simpati orangorang macam gantung semua,Phase 4
negative,negative,2025-02-28 09:12:00,alip108,dah keluar nanti kena langgar mati la memasing semua,Phase 4
neutral,neutral,2024-07-23 05:19:00,izzyumi,laptop hilang dah jumpa belum,Phase 4
neutral,neutral,2021-03-30 12:14:00,bernamadotcom,upnm student tell kuala lumpur high court today someone punch cadet marine officer zulfarhan osman zulkarnain victim room university jebat hostel building,Phase 2
negative,negative,2018-06-29 08:24:00,manjopie,allah kau bagi culik diseksa macam cerita saw,Phase 2
positive,positive,2024-07-25 00:05:00,doktunggulagi,ambil pengajaran kisah tahu ujian kelak kalau ikutkan tertuduh cuma tekap sekali sahaja tapi talus gantung iktibar perkara belajar katakan satusatu arahan terutama sedang alam pekerjaan,Phase 4
negative,negative,2025-02-28 23:35:00,WaisibBin,pakar amp hakim peguam serangkai mata ditutup syaitan,Phase 4
positive,positive,2024-05-16 00:41:00,najwaakamal,yes nyawa dibalas,Phase 3
neutral,neutral,2018-06-26 12:14:00,theSundaily,zulfarhan osman say take laptop witness,Phase 2
neutral,neutral,2025-03-01 03:11:00,imannuraim,dark side court case defend anything lessen charge againts client,Phase 4
negative,negative,2024-05-16 08:54:00,MuhdAfiffff,pengajarannya ialah lepas kalau nak bunuh oranglantik lawyer powerguna hujah membunuh tampa niatdapat la makan free jailjangan risautak kenw hukum mati,Phase 3
neutral,neutral,2021-11-03 11:12:00,ZainudinHashim8,elakkan budaya buli sekolah asrama kejadian menyebabkan kematian pernah belaku ditempat lie berasrama pihak pengurusan kolej ambil berat tentang perkara supaya berulang,Phase 3
neutral,neutral,2018-10-26 09:21:00,baikragu,next hearing th october friend send poisonpen letter abuse zulfarhan osman avoid similar treatment malay mail,Phase 2
negative,negative,2025-03-01 04:51:00,wookieswoob,dah kena suap,Phase 4
neutral,neutral,2024-07-25 05:44:00,fauzitahir8098,kapten haryani jantan betina,Phase 4
positive,positive,2017-06-03 07:00:00,SAYSPhilippines,know late navy cadet officer zulfarhan osman zulkarnain polite softspoken nature,Phase 1
neutral,neutral,2021-04-08 16:01:00,fmtoday,defence witness include upnm student charge murder injure abet murder zulfarhan osman zulkarnain fmtnews court,Phase 2
negative,negative,2024-07-23 04:39:00,acbnrff,patut gantung kren dekat dataran merdeka hari ahad esoknya cuti umum,Phase 4
negative,negative,2024-07-23 09:04:00,rayyanharies,may rest peace zulfarhan osman zulkarnain six bully gon na hang death hell murderer languish fiery depth neraka jahanam suffer tenfold torment inflict upon,Phase 4
negative,negative,2024-07-25 04:41:00,ThruPeep,macam mana join askar pakai spekbetulah semak upnm bila atm,Phase 4
positive,positive,2024-07-24 15:30:00,SirHishamMahir,semoga tenang roh arwah sana syurga nanti rasa dah siksa dunia allah terbayang kalau kena macam,Phase 4
neutral,neutral,2021-11-03 01:32:00,onceadarn,siapa curi laptop sebenarnya memang betul hilang jumpa sampai wujud serius tolong,Phase 3
positive,positive,2024-07-26 22:54:00,budaknakal779,setuju beliau menyaman pihak upnm,Phase 4
neutral,neutral,2025-03-01 03:50:00,norris_anggun71,saksi bab sp dr salmah arshad punca jahanam lepas bagaimanapun hakim hasnah berkata telah mengubah pernyataannya ketika disoal peguam semasa perbicaraan menyatakan kesan kebakaran peratus menyebabkan kematian tetapi semestinya mati,Phase 4
negative,negative,2024-11-09 09:09:00,mo025773,kejadian sama berulangmak bapak anak nak sambung belajar pikir masak pilih universiti nibuli dah budaya,Phase 4
positive,positive,2024-07-23 05:42:00,Tuliiipps,keadilan arwah semoga mnjadi pengajaran,Phase 4
positive,positive,2021-11-03 02:25:00,SaifulMikail,moga arwah tenang sana tuntut segalaaaaaa nya,Phase 3
negative,negative,2024-11-09 06:37:00,zahir260493,cer seterika balik badan bagi rasa,Phase 4
neutral,neutral,2021-11-01 07:59:00,imminent_news,🇲🇾 nstnation university pertahanan nasional malaysia upnm student stand trial death cadet officer zulfarhan osman zulkarnain four year ago learn fate tomorrow mostshared,Phase 3
positive,positive,2024-07-23 05:42:00,Tuliiipps,keadilan arwah semoga mnjadi pengajaran,Phase 4
neutral,neutral,2019-07-09 05:10:00,Balmutalib,ada baca dekat story adik arwah katanya allergic antibiotic sebab waktu suspect bawak pergi klinik dapat treatment makin teruk sebenarnya surat refer hosp tapi depa,Phase 2
neutral,neutral,2017-11-17 10:10:00,AndyVermaut,malaysian tragedy torture murder cadet zulfarhan osman,Phase 1
positive,positive,2024-07-24 12:58:00,ritzramo,lepas nie kes adib pula dapat keadilan sepenuhnya,Phase 4
neutral,neutral,2018-06-29 05:48:00,jokercrew69,case selesai lgi,Phase 2
negative,negative,2024-07-25 13:36:00,Thehulkey,pelik perangai doktor kesihatan tentera memang prangai bangsat skod pecah usus kena rag kata macam mana nak askar bru sikit dah kiwak kau buddy tengok depan mata jek dekat perut relax orang icu kot mujur xmati,Phase 4
positive,positive,2024-07-26 12:49:00,AzisAdib,saman,Phase 4
positive,positive,2019-07-08 15:19:00,qamraqurratuain,semoga ada justice boy please,Phase 2
positive,positive,2024-05-17 00:26:00,AbdulMu52303682,setuju nyawa dibalas,Phase 3
neutral,neutral,2017-07-18 06:59:00,mat4g13,aug mention date upnm student charge navy cadet officer zulfarhan osmans death,Phase 1
neutral,neutral,2018-10-26 09:21:00,baikragu,next hearing th october friend send poisonpen letter abuse zulfarhan osman avoid similar treatment malay mail,Phase 2
neutral,neutral,2020-04-09 16:50:00,syeraaaa6,punishment retribution,Phase 2
neutral,neutral,2018-10-24 14:51:00,baikragu,tomorrow court hear zulfarhan osman murder case,Phase 2
neutral,neutral,2024-07-23 20:38:00,vebrianza_,kalau indo gak mungkin nih dihukum mati tau sendiri hukum nya gimana,Phase 4
positive,positive,2024-07-26 12:41:00,Mast851,sangat setuju sangatgo go,Phase 4
positive,positive,2024-07-26 12:07:00,kuniverse1311,sokong saman upnm,Phase 4
positive,positive,2024-07-26 14:26:00,AfafAsyr4f,saman,Phase 4
neutral,neutral,2024-07-25 05:11:00,TaufiqMNi,baru pertama kali tengok semula surat semenjak kejadian,Phase 4
positive,positive,2021-11-03 00:56:00,mumyakim,semoga arwah tenang ditempatkan dikalangan org berimanal fatihah,Phase 3
neutral,neutral,2021-11-03 14:30:00,staronline,attorney general chamber appeal high court rule convict six student upnm culpable homicide amount murder case zulfarhan osman zulkarnain,Phase 3
negative,negative,2021-11-04 02:27:00,AminGibson96,hakim peguam kawankawan family would like see treatment get afterlife,Phase 3
positive,positive,2024-07-23 04:54:00,Shadow_Kurou,alhamdulillah justice serve,Phase 4
neutral,neutral,2024-11-01 03:15:00,malaymail,father murder army cadet zulfarhan osman zulkarnain express sadness abuse still happen universiti pertahanan nasional malaysia upnm harian metro cite idros say shock similar suffer late son,Phase 4
neutral,neutral,2025-02-28 05:30:00,NewsBFM,six former upnm student escape death penalty navy cadet officer zulfarhan osman zulkarnain federal court grant appellant appeal reduce sentence murder year prison culpable homicide amount,Phase 4
positive,positive,2024-07-26 11:12:00,TemporaryWorld9,sokong saman upnm bukan dapat duit sahaja tetapi supaya insaf pastikan jenayah menimpa arwah zulfalhan berlaku kepada anak orang lain,Phase 4
positive,negative,2024-07-23 12:31:00,asianewsnetwork,justice hadhariah syed ismail chair threejudge panel describe crime commit zulfarhan osman zulkarnain seven year ago rarest rare spoke parent must felt malaysia thestar,Phase 4
neutral,neutral,2024-07-25 07:55:00,LilleAmma,mungkin penuntut talus gantung والله اعلم بالصواب هاڽ الله يڠ مڠتاهويڽ,Phase 4
neutral,neutral,2024-07-23 05:19:00,izzyumi,laptop hilang dah jumpa belum,Phase 4
negative,negative,2025-03-01 06:08:00,izz_tjdin,know shes real point need kang bitna judge justiceforzulfarhan,Phase 4
neutral,neutral,2024-07-23 05:55:00,nikhajarr,recap arwah zulfarhan murder case osman zulkarnain finalyear naval cadet upnm may accuse fellow cadet steal laptop lead tragic series event,Phase 4
negative,negative,2025-02-28 10:38:00,aziekuchiki,jahanam oopss sorryyy sengaja,Phase 4
neutral,neutral,2024-07-24 08:28:00,gustiadipati9,macam najib tahun lepas dapat diskaun berharap diberi pengampunan pergi mampos dah buat jenayah jarah duit rakyat nak minta,Phase 4
