Actual,Predicted,Date,Username,Tweet
negative,negative,2/8/2019 7:22,IMMikhailHafiz,upnm predictably quick defend allegation rag issue formal apology parent zulfarhan osman zulkarnain fail protect son prevent murder take responsibility incident
negative,negative,28/2/2025 15:21,raimirusyaidii,insaf acik keluar mahkamah sengih kambing padahal baru buat perbuatan jenayah bangsat betul lahh penjara er lanceret punya budak
negative,negative,1/3/2025 5:49,sixty90,pakar bomoh logik senang arwah kena seterika kurung panggil ambulans tempoh ditolong bukan niat nak bunuh ingat deadpool sembuh sendiri
positive,negative,24/7/2024 12:58,ritzramo,lepas nie kes adib pula dapat keadilan sepenuhnya
negative,negative,31/7/2019 5:58,Rahmanators,yeah gantung menghitung hari
negative,negative,27/7/2024 18:41,nrmuhamadd,layak sial panggil kapten patut barua sebab dah melayangkan nyawa orang
negative,negative,4/11/2021 14:41,MAISARAHOTHMAN_,pecat ambil tindakan atas semua terlibat jenayah berat tiada kompromi
positive,negative,26/7/2024 14:40,Farishaafrnaaa,sampai ada kematian memang patut disaman pihak pengurusan upnm terlibat secara langsung diambil tindakan alert kebajikan pelajar
positive,positive,31/7/2019 1:48,nabilahrshdn,pray amp hope justice prevail today arwah zulfarhan osman justiceforzulfarhan
negative,negative,23/7/2024 4:48,WannRosli,patut iron sampai mati
neutral,neutral,26/6/2018 11:51,bernamadotcom,zulfarhan osman say take laptop witness
negative,negative,28/2/2025 12:15,gabansupercop,tetap ralat keputusan tetapi siapalah nak kecam mahkamah kan cuma percaya allah maha adil sebab manusia memang susah berlaku kepada mak pak zulfarhan semoga tabah semua
positive,negative,1/3/2025 5:32,bvbblystvr,ada baca komen anggap allah izinkan semua keputusan sebab nak settle dekat akhirat biarkan ibu bapa arwah zulfarhan sebagai orang teraniaya sampai bila doa depa makbul
positive,negative,16/5/2024 2:09,anakmalaysia07,setuju musibat pembunuh dibiarkan lepas dekat masyarakat bahaya
neutral,positive,28/2/2020 14:25,fmtoday,one say help buy food zulfarhan osman zulkarnain day stay room fmtnews
negative,negative,26/7/2024 13:33,kindly1375493,jangan cukup betul bersalah sahaja layak dakwa
positive,positive,16/5/2024 23:06,nazzahmn,setuju sangat
negative,positive,29/11/2017 13:54,amieyrazmi_,happy birthday arwah zulfarhan osman
positive,positive,26/7/2024 12:07,kuniverse1311,sokong saman upnm
negative,negative,25/7/2024 8:17,Eastcantdak747,jom viralkan tok bomoh jenis mencabul nikimak
neutral,neutral,29/7/2024 10:42,kucingputih,navy cadet burn death hot iron bullies｜zulfarhan osman case via
positive,positive,23/7/2024 6:02,hola_tristia,alhamdulillah next dah cari kes adib bomba
positive,positive,25/7/2024 8:01,mayazakimz,ada manusia berhati perut terima kasih aufa semoga sentiasa dipermudahkan urusan
negative,negative,26/7/2024 1:55,hanaeism,surat layang sebelum sampai kapt haryani ada sarjan ambil palang pintu pagar masuk rsat siap share group whatsapp jurulatih still orang buat ambush sempat arwah dipindahkan sana sini
positive,positive,17/5/2024 10:53,Ziqrie92,setuju
neutral,neutral,18/6/2024 13:41,Margare96602396,navy cadet burn death hot iron bullies｜zulfarhan osman via
negative,negative,28/2/2025 8:19,DillSnelling,dahsyat lawyer tersebut debat disebabkan niat bukan membunuh mengetepikan hukuman gantung
neutral,neutral,28/7/2021 8:41,malaysiakini,court high set sept hear final submission case upnm student charge murder cadet marine officer zulfarhan osman zulkarnain
negative,negative,2/3/2025 10:40,atiqsakri,rasanya buat lakon semula macam mana ekor tekap seterika dekat zulfarhan tapi mahkamah kena conduct pakar la dapat result stupid hypothesis directly
negative,negative,29/6/2018 11:24,cik_iira,sanggup nak baca tajuk sah terbayangbayang azabnya
neutral,negative,8/7/2019 14:53,SyakirDahInsaf,thanks later malas membaca seriously kritikal sebab bertukar ubat hingga mmbawa kepada kematian
neutral,neutral,29/12/2020 9:25,MalaysiaGazette,naval cadet officer zulfarhan osman zulkarnain die bacterial infection chest major burn sequela malaysiagazette
neutral,neutral,29/7/2024 7:59,saysdotcom,zulkarnain idros want know human right commission malaysia suhakam son zulfarhan osman torture murder seven year ago
neutral,negative,23/1/2019 23:08,xziexdnxn,alfatihah arwah adib
positive,negative,2/11/2021 13:49,kiranaSufi1,syukurlah beri peluang hidup tetapi la menyesal seumur hidupmereka hilang kehidupan selama thn sia thncb tk buat hal bukan ada kerjaya keluarga anaksesal kemudian gunamoga permudahkan semuanya
negative,negative,29/6/2018 10:28,maxxximus46,normal everyone soft side honest decease suffer lot
negative,negative,4/11/2021 3:44,PasurieG,suppose hukuman mati dikenakan penjara seumur hidup people belajar ingat arwah baju nak diseterika kemak pak budakbudak kena hukum sekali jangan terima rayuan
negative,negative,10/4/2020 4:57,Arezhami,apelah susah nak hukum iron badan one
positive,negative,23/7/2024 4:50,F_SyimaM,menangis tengok parent arwah alhamdulillah gantung kekal sampai mati jahanam kang esok merayu dekat raja pula
neutral,negative,26/7/2024 12:37,CDE_Rahimali,saman pakcik bukan sebab duit tapi taknak ada anak² dibuli dekat upnm
negative,negative,9/11/2024 23:00,moonliteblues,apa masalah upnm nih
positive,negative,23/7/2024 13:12,00teeqa00,brazen bull malaysia bully finally feel equal pain poor allayarham zulfarhan osman felt tormented
positive,negative,23/7/2024 5:48,SHAHARUDDINHAS1,semoga keadilan tertegak bumi 🇲🇾 hanya ibubapa amp keluarga mengalami perkara sama tahu anak harapan ditatang jaga sedari kecil hantar kolej manusia berguna negara tiba disiksa bunuh puak bertamadun allahuakbar
neutral,neutral,1/3/2025 3:50,norris_anggun71,saksi bab sp dr salmah arshad punca jahanam lepas bagaimanapun hakim hasnah berkata telah mengubah pernyataannya ketika disoal peguam semasa perbicaraan menyatakan kesan kebakaran peratus menyebabkan kematian tetapi semestinya mati
negative,negative,3/11/2021 3:06,ArianaHana12,tolongla wardenwarden jaga pembunuhpembunuh bagi ajar sikit cell seterika dekat muka setiap hari simbah air panas
negative,neutral,26/7/2024 10:24,1AmyChew,tear parent late zulfarhan osman say none individual responsible son death come forward apologise since incident despite several encounter court
negative,negative,28/2/2025 18:57,BSooyaaa,sengaja kepala hotak korang senang² torture bunuh anak orang lain
negative,negative,24/7/2024 11:46,zackry10516448,nih kes percaya bomoh ramai lgi nujum pak belalang
negative,negative,9/11/2024 4:35,dauskatang,upnm dah lubuk menghasilkan pembuli apa pihak atasan buat selama lama budaya buli bersarang
negative,negative,16/5/2024 9:47,mofadma,upnmuniversiti buli
negative,neutral,3/11/2021 5:43,baganmariiii,fcking laptop bomoh allegedly say zulfarhan stole get awayhe start
neutral,neutral,3/11/2021 7:51,staronline,ag chamber appeal court ruling zulfarhan osman case
negative,negative,8/11/2024 14:36,wagyusedap,wtf another kes seterika budakbudak memang reti belajar dr pengajaran zulfarhan apa masalah bdk upnm amik ada masa depan amp sakit mental dekat situ tutup jelah gagal
negative,negative,1/3/2025 4:48,Bvt__,takyah penjara la kalau macam hukuman biar sama apa arwah kena
negative,negative,26/7/2024 8:19,silentsoul85,kapten haryani dah bagi discharge disgrace manusia macam layak berkhidmat institusi pendidikan mahupun keselamatan
negative,negative,8/11/2024 4:35,dizay41,dah ada pengajaran student lepas kenapa perkara berulang macam
neutral,negative,2/11/2021 15:25,NewsBFM,zulfarhans mother hawa osman say become paranoid allow child pursue study far home still traumatise happen eldest son trauma membenarkan anakanak lain memasuki badan beruniform
negative,negative,24/7/2024 11:50,jom_komen324,dah jahat sangat ikut suka hati bunuh anak orang kenapa dengar khabar sampai sekarang laptop jumpa
positive,positive,27/7/2024 15:17,syabil_afiq,saman supaya pengajaran semua ipt sekolah pelajar masa depan
neutral,negative,29/6/2018 18:41,FaizHyo,sebab laptop hmmmm
negative,positive,17/5/2024 6:40,ftfxftfxft,mohon dijatuhkan hukuman mati
neutral,neutral,17/11/2017 10:17,mat4g13,ceritalahasean malaysian tragedy death cadet zulfarhan osman
negative,negative,28/2/2025 14:23,inanobiy,tapi zulfarhan terbukti mati
negative,negative,1/3/2025 3:39,nrsyhrshl,kalau macam jatuhkan hukuman sama seterika setiap hari dekat jahanam selama penjara sebab semestinya menyebabkan kematian kan
positive,positive,24/7/2024 15:10,sheluth_nur,soothe thread break heart thank ustaz may allah mercy almarhum zulfarhan osman zulkarnain remain forever etch
negative,negative,29/6/2018 1:35,ifwatizaham,baca comment sekali nampak kau kata tertuduh gelak pergh menyirap siot biar jalan jatuh longkang lepas pinggang patah lumpuh tersiksa hidup accident kaki putus tangan aihh layak tentera
neutral,neutral,3/6/2017 4:31,DavidAnanth,higher education ministry view zulfarhan osmans death seriously
neutral,negative,23/7/2024 20:38,vebrianza_,kalau indo gak mungkin nih dihukum mati tau sendiri hukum nya gimana
negative,negative,8/11/2024 4:27,Iskanda28144900,ambik seterika tekup dekat dada pulak tengok apa rasakerana kau sorg kaki buli rosak terus nama upnm bagi hukuman berat biar betulbetul pengajaran lainlain
negative,negative,8/11/2023 14:20,Pluviophiles19,dont deserve life muka pembunuh
positive,negative,16/5/2024 10:35,jiiilp1sc,nyawa dibalas matikan
negative,negative,24/7/2024 5:22,schoneathena,bomoh ape cite xkena apaapa
positive,positive,16/5/2024 2:07,Rainism08,yes punishment take
negative,negative,9/11/2024 16:49,abe_sein,korang mental disorder apa bangang suka² jer seterika orang bingai
positive,negative,16/5/2024 3:14,SuaraHitamPutih,doakan baikbaik agar ketika menjalani hukuman bertemu hidayah
negative,positive,26/7/2024 10:03,Haffiz_Wali,saman lantik taki peguam baru syok
neutral,negative,16/5/2024 8:30,ahbarabraham11,pilih bunuh balas justify amp family rse dibéla pesalah masuk lokap makan tempat tinggal free silap dapat kerja komuniti kemahiran hasil duit masyarakat tapi biasanya mahkamah memang bela org² macam well see
neutral,negative,9/7/2019 12:46,wanxhana,satu masa nanti kes filemkan
negative,negative,16/4/2025 23:43,GovWaste,push expand duplicative wasteful direct file program show complete disregard protect taxpayer dollar information
neutral,positive,3/7/2019 3:42,orchidsandraa,balik kes please
negative,negative,15/1/2024 14:34,Timojili_s18101,muka senyum sebab terlepas talus gantung rasa macam nak minta pijak geram tengok
negative,negative,4/11/2021 7:11,licrazyrichasia,sapa kahwin pembunuhpembunuh arwah zulfarhan memang sah akal dekat buku lali
negative,negative,12/4/2020 4:36,M_HafizBHashim,pakai smart bertali leher jeles cepat sikit nak korang kain kapan hutang nyawa dibayar
neutral,neutral,12/11/2018 23:09,sarawakvoice,saw hit used hot iron zulfarhan osman witness
negative,negative,1/3/2025 11:27,dyoguma,someone korek sikit dr pakar
negative,negative,28/2/2025 19:32,3247_4MR0L,pakar pakai try demo dekat nak tengok betul semestinya mati
negative,negative,24/1/2019 7:11,ShashaGurlz96,kesian arwah hmmdekat dunia lari manusia kome tipu tapi bila allah sampai akhirat weyh tanggung
negative,negative,28/2/2025 14:32,Alf_Ng,hairan bin ajaib mengapa makamah persekutuan kenakan penjara seumur hidup sebagai gantian terus batalkan penghakiman tinggi rayuan
positive,negative,16/5/2024 1:52,fazz_dongiltiny,sokong buat ape nak bazir duit menyara pembunuh penjara
neutral,neutral,23/7/2024 5:04,NewsBFM,court appeal impose death sentence six former upnm student convict murder navy cadet zulfarhan osman zulkarnain say warrant give cruelty accused action
negative,negative,25/7/2024 2:18,nurazriiiiiiii,suppose hero nation choose evil country forever mourn zulfarhan osman case justice prevail alfatihah
negative,negative,1/3/2025 1:38,Umianies1975,memang munasabah kalau kata sengaja
neutral,neutral,16/8/2018 14:26,malaymail,friend send poisonpen letter abuse zulfarhan osman avoid similar treatment
negative,negative,28/2/2025 23:01,Amycute029,jangan diberi muka kepada semua tunggu tahun insyaallah pihak medium mesti umumkan pembebasan jahanam
negative,negative,5/11/2021 2:26,cakaplepas88,buat la hukuman sama tekapan seterika dekat semua pembuat membunuh
negative,negative,29/6/2018 2:28,shahzshams,wan na fcking dead bastard deserve live juz laptop universiti kill guy dasar setan bertopengkan manusia betul
positive,positive,26/7/2024 22:44,dilahnas,saman pakcikkkk satu malaysia sokong
negative,negative,24/7/2024 15:25,sajasajalahkan,suruh tok bomoh cari mh plak
negative,negative,28/2/2025 10:25,abahkaulatu,sengaja sial
negative,negative,29/6/2018 7:48,nunuuuela,teruknya
neutral,negative,3/11/2021 7:03,BRosmainy,apa tindakan warden pihak pengurusan upnm dato sri
negative,negative,28/2/2025 7:53,IceLemonTea0101,kalau ikutkan dr tarikh tangkap kes orng dlu julai kena thn hukuman tolak tambahmereka bebas bln lbh kurng jaillepas
neutral,neutral,31/7/2019 12:18,NewsBFM,national defence university malaysia student order kl high court enter murder case cadet officer zulfarhan osman zulkarnain come prosecution successfully prove prima facie end submission
negative,negative,3/6/2017 22:06,sissyimann,cried reading abt arwah zulfarhan osman zulkarnain alfatihah imagine tht happen sibling hw people heartless
negative,positive,16/5/2024 0:08,Reban88591851,setuju ekor dicucuh seterika kote teloq sehingga cair
negative,negative,23/7/2024 23:52,abusaltiga,bye² jahanam
negative,negative,17/6/2017 2:43,puteriazwin,saddest part zulfarhan osmans death hand people call friend god sake
neutral,neutral,5/6/2017 11:31,MalaysiaGazette,individual may arrest murder zulfarhan osman
negative,negative,28/2/2025 15:00,RandomHistoryG4,insaf konon dah korang kome kumpul banyak dosa menipu bail kau cakap jer benda benar
negative,negative,28/2/2025 10:19,160878ea,ingat semua take screenshots face share dekat family kenalan palau sampai dorang sabar nak jumpa arwah mintak maaf aaamminnnnn
negative,negative,3/11/2021 7:45,jimmydareyou,ingat gais muka² penjenayah patut ban dunia luarsekali sekala ikut cara korea selatan sana ada jugak kebaikannya
neutral,neutral,7/3/2025 10:58,umconstiteam,upnm bully case death sentence overturn zulfarhan osman remain tragic reminder danger haze institutional violence spark national debate justice accountability student safety umct infographics
neutral,neutral,17/11/2017 11:40,SCMPNews,malaysian tragedy torture murder cadet zulfarhan osman
neutral,negative,3/11/2021 11:28,SirDin4,khabar angin mengatakan antara orang pesalah utama salah seorang bapanya pegawai tinggi tentera perkhidmatan
negative,negative,16/5/2024 1:45,macamtulahhh,penjara dulu baru hukum mati
negative,positive,26/7/2024 11:30,AF1070159930,samannnn
negative,negative,2/11/2021 22:58,harubiruboi,mana pegi para warden bertugas mengawasi pelajar asrama
positive,positive,24/7/2024 15:30,SirHishamMahir,semoga tenang roh arwah sana syurga nanti rasa dah siksa dunia allah terbayang kalau kena macam
neutral,neutral,3/6/2017 3:31,zyiteblog,cadet officer tell mother take care prior murder navy zulfarhan osman zulkarnain
negative,negative,28/2/2025 13:50,AimanAirin2,pakar oh mai seterika sat
negative,negative,3/11/2021 13:05,faizalriduan,d apa tindakan terhadap warden jurulatih mengambil awal menyelamatkan mangsa kecuaian jenayah
negative,negative,3/11/2021 19:40,sundalela23,captain amp warden masa tolong pecat dah senarai hitam kan nama daripada kerja bawah pertahanan negara kerajaan
negative,negative,26/7/2024 15:28,uralien9,upnm memang butoh tutup jelah woi
neutral,neutral,23/7/2024 6:24,PrimaFacie_99,huge malaysian court appeal pronounce death penalty penal code zulfarhan osman murder mandatory abolish might one first ever case court trigger discretion
positive,negative,26/7/2024 13:07,ashknjml,saman upnm sebab tengok macam tone deaf post story dekat ig tkda apa rasa bersalah erkk
neutral,neutral,19/11/2017 6:55,poolrednuts,malaysian tragedy murder cadet zulfarhan osman
neutral,neutral,7/1/2018 5:57,AlastairSiu,malaysian tragedy murder cadet zulfarhan osman via
neutral,neutral,28/2/2025 5:30,NewsBFM,six former upnm student escape death penalty navy cadet officer zulfarhan osman zulkarnain federal court grant appellant appeal reduce sentence murder year prison culpable homicide amount
negative,negative,28/2/2025 12:35,Houdini_My,sengaja camtu percaya
neutral,negative,30/6/2018 6:26,salsabilaaaa88,nak tanya la kenapa saksi report lecturer ataupun sesiapa jelah tolong panggil kawan jugak leraikan buli im curioussss
positive,negative,23/7/2024 5:01,rdnaiman,pengajaran si kaki buli dah bagitahu anak masing jangan usik orang dekat sekolah
negative,positive,3/11/2021 3:26,brothetman,diwaktu sama jangan terlepas pandang kisah sedih menimpa arwah adib sehingga kini keadilan dicari belum diketemui semestinya mak lampir menunaikan janji palsunya editanrakyatperhatin
neutral,neutral,23/7/2024 4:15,Scoopdotmy,court appeal reinstate murder conviction six former universiti pertahanan nasional malaysia upnm student kill fellow student zulfarhan osman
negative,negative,1/3/2025 3:33,NakamuraMagnus,siapa nama pakar nak jumpa dekat parking jap
negative,negative,1/3/2025 5:22,skztm6,lawak la habis ada jugak membunuh sengaja kene hukum gantung kan buang masa simpan orang spesis macam kalau dah dibenci masyarakat baik hujum
negative,neutral,7/9/2020 15:36,AzliyatunShima,sicken reminds zulfarhan osman case
negative,negative,3/11/2021 0:21,Fhxx96,hakim peguam handle kes memang bodoh dah kena bayar mak bapak penjenayah ambik kau makin jutaan rakyat malaysia
negative,negative,23/7/2024 23:46,Sitibadari70713,punya cerita kene talus gantung sekor lastlast terlepas bodo macam jha mengamuk satu malaysia nnti
neutral,neutral,3/11/2021 7:49,ZyiteGadgets,ag chamber appeal court ruling zulfarhan osman case
negative,negative,28/2/2025 22:58,inseqyo,kalau kena saterika tiada dapat luka berdarah semua takdelah datang infection takkan nak kata disebabkan tikam pisau direct jantung dikira faktor utama amende sia
negative,neutral,28/3/2018 15:04,rusahang,cadet officer dehydrate visit clinic say doctor wound zulfarhan osman zulkarnain heal well vomit several time
neutral,neutral,3/11/2021 7:07,ZyiteGadgets,verdict naval cadet zulfarhan osmans case hisham warn upnm armed force never let heinous act recur
neutral,neutral,26/4/2018 11:27,bernamadotcom,witness unsure zulfarhan osman allergic prescribed medication
positive,positive,24/7/2024 12:30,kerandajingga,alhamdulillah
negative,neutral,3/6/2017 5:49,Melissa_Jhnsn,dont understand zulfarhan osman take clinic week hosp didnt gp call police
negative,negative,3/11/2021 3:17,brothetman,diwaktu sama jangan terlepas pandang kisah sedih arwah adib hingga kini keadilan dicari belum diketemui semestinya mak lampir menunaikan janji palsunya
positive,positive,2/11/2021 7:46,JuiceMy,thought prayer go zulfarhan family time navy cadet osman finally see justice year later suspect guilty murder
negative,negative,1/3/2025 2:17,Orkidjelah,dorang keluar nanti tunggu depan jail terus ludah kahak bale telur simbah air busuk dekat muka mampos kau kena palau
neutral,neutral,24/7/2024 8:24,xiongmao51515,court appeal rule murder case navy cadet officer zulfarhan osman zulkarnain seven year ago represent one rarest extreme form cruelty tolerate crime judge datuk hadhariah syed ismail lead threejudge
negative,negative,24/7/2024 23:53,FarahJamil_,semoga rayuan kalini berpihak dn hukuman gantung kekal iktibar anak orang lain
positive,negative,26/7/2024 12:23,_jaajaaaa,samannnnn sebab even lepas kes zulfarhan pembulian smpai melibtkan nyawa berlakudan tiada tindakn diambil
negative,negative,3/11/2021 1:08,nuraindiyanah,hukuman penjara kenapa diadakan sebat si malaunmalaun biar rasa sakit sikit rileks merasa apaapa setan semua
negative,negative,9/11/2024 17:03,guaneramok,kira selamat tinggal karier kerajaan angkatan bersenjatalepas duduk masyarakat ubah perangai jangan suka membuli orang lainpanjang lain perjalanan hiduppilih baik
negative,negative,24/7/2024 13:02,DrWiket,tolong tengok balik record visit allahyarham klinik tersebut macam mana doktor bertugas discharge patient mengalami severe burn wound tb area gt nd degree rd termasuk bahagian kemaluan
negative,negative,1/3/2025 0:02,illyiarazak,bodohnya pakar patut ditekap seterika
negative,negative,1/3/2025 3:53,afiqrozman_,kepala butoh keterangan pakar
neutral,negative,1/3/2025 5:22,farizjefri,still punca kematian daripada seterika kan
positive,positive,26/7/2024 12:53,emeliney31,satu malaysia sokong ayah zulfarhan
neutral,neutral,2/11/2021 4:11,KittyPo80176717,trial murder zulfarhan osman zulkarnian find guilty culpable homicide injure navy cadet officer
negative,negative,2/11/2021 16:58,omoomeyyyy,terkena iron sipi menggelupur sakit macam mana tahan allahu sian
negative,negative,8/11/2024 6:42,mamatmeow,seterika balik
neutral,neutral,3/6/2017 0:38,MalaysiaGazette,navy cadet zulfarhan osman death investigate via malaysiagazette
negative,negative,28/2/2025 23:32,AhlamiRaja,kes pedophilia korang bagi penjara smpai beratus tahun tkkan buli sampai tahap membunuh tkboleh seumur hidup siap bermula dri tarikh dorang kene tangkap hukumannya
negative,negative,1/3/2025 12:27,nrl_atirah,pakar dibayar ape hairan yee tapi buat statement mengelirukan memang sah laa niat membunuh
neutral,negative,25/7/2024 2:38,HarizHaik,soalan serius nak tanya katakanlah seorang daripada tertuduh proceed mahkamah rayuan maknanya kekal hukuman tahun penjara gantung semalam kenalah kan
negative,negative,1/3/2025 4:32,LiquidatorSC,takpe nanti keluar penjara rakyat tentukan nasib
negative,negative,1/3/2025 13:53,nnzsctn,sengaja dorang takboleh fikir waras
negative,negative,25/7/2024 14:11,Ivan_roseee,susah la manusia bila tiada sifat berperikemanusiaan sekutu israel memang layak gelar tapi nak haiwan jugak sebab ada perasaan gelaran setan terbaik dorang kenapa kejam sangat macam selain
negative,negative,28/2/2025 11:35,FernndoAlonso14,pukimak lancau anak haram ekor bangsat
neutral,neutral,3/11/2021 14:30,staronline,attorney general chamber appeal high court rule convict six student upnm culpable homicide amount murder case zulfarhan osman zulkarnain
negative,negative,4/11/2021 1:54,dust_tralala,biasalah undangundang malaysia kalau nak bunuh orang pasni jangan terus tikam kang talus gantung dera seksa perlahan lahan sampai meninggal nanti terlepas la hukuman sebab membunuh tanpa niat ‍
neutral,neutral,23/7/2024 7:39,sinardailymy,court appeal describe murder upnm student naval cadet officer zulfarhan osman zulkarnain seven year ago exceptionally rare heinous crime
negative,negative,2/11/2021 8:40,iman__210,layak talus gantung ja nyawa dibayar la tahun dok dekat penjara mna cukup
negative,negative,1/3/2025 10:38,HeyyAmir,macam dibayar nikenapa dibuat experiment tekap orang
negative,negative,28/2/2025 9:00,mieradot,kena dekat takpe darah daging kifarah real allah bayar cash tidur
positive,negative,1/3/2025 10:01,zyraroxx,biarlah depa bebas mungkin ada azab seksa lebih teruk nanti tahu allah maha adil pegang sebab manusia memang pakai keadilan dunia terletak tgn benafsu duniawi
negative,negative,3/11/2021 5:47,Norisma1906,kifarah ttp adawait seeuntuk hakim doakan jugak mendapat balasan setimpal atas ketidakadilan kes niallah swt pernah tidur
negative,positive,28/2/2025 11:02,Iam_Zaril,demand reduction punishment zulfarhan osman face alone theyre many torture death physical thing could bring split second printed paper fair justice sweep rug
neutral,neutral,2/11/2021 3:56,malaysiakini,high court kl find six upnm student guilty culpable homicide case late zulfarhan osman zulkarnain section penal code injure navy cadet officer
positive,positive,29/12/2020 10:43,nasaiesamosorn,justice arwah
neutral,neutral,25/7/2024 18:10,NST_Online,nstletters death national defence university upnm navy cadet zulfarhan osman zulkarnain shock nation bully
neutral,neutral,30/7/2024 14:40,dr_joash,case bully go horrifically wrong tragic story zulfarhan osman zulkarnain promising student universiti pertahanan nasional malaysia become victim brutal act
positive,positive,28/2/2025 7:34,honeyyyb3,justice zulfarhan osman
neutral,neutral,23/7/2024 4:55,sinardailymy,alert appeal court send six former upnm student gallows murder zulfarhan osman zulkarnain seven year ago
negative,negative,1/3/2025 7:35,Eisyaereena,memalukan negara family perpetrator whoever behind decision
positive,negative,17/5/2024 1:09,chy_sidek,ye hukuman mati semua orang nak masuk askar buat perangai macam hanatrasa hebat sangat buli patut hantar tolong hamas dekat plestin lawan zionis kau gi la mana sokong
neutral,neutral,12/11/2018 12:52,bernamadotcom,saw hit used hot iron zulfarhan osman witness
negative,negative,24/7/2024 15:58,beckhlyn7,stesen tv dapat buat live nanti agar beri pengajaran kepada semua rakyat malaysia
negative,neutral,17/11/2017 12:19,theginoubasgopo,sound familiar ustlaw yet consider plausibility heartcondition defense aegis juris kind lawyer breed malaysian tragedy murder cadet zulfarhan osman
negative,negative,24/1/2019 14:09,SufeYusof,statement nie tuju dekat budak upnm nak buli apa xperlu la smpai mati anak orang tapi budaya kan bangang mak bapak xdidik betulbetulxsemua sebab segelintir agaknye lahir otak xcukup berkembang satu dapat nama busuk
neutral,negative,25/7/2024 14:00,NewsBFM,suhakam say share grief anguish family zulfarhan osman zukarnain recognise severity crime however sentence six exunpm student death mark sad solemn day malaysias judicial history
neutral,neutral,4/6/2017 4:48,HigherEdTopNews,higher education ministry view zulfarhan osman dea via
negative,negative,27/6/2018 12:14,dawnmalaysia,justice must prevail zulfarhan osmanthis torture murder life prove rakyat one law ph gov
negative,negative,3/11/2021 8:01,3629Khir,hanya allah sahaja tahu sebab apa buli sedemikian rupamencuri komputer riba alasan ataupun rekaan menyelamatkan pembunuh
neutral,neutral,2/11/2017 0:04,baikragu,case uni student charge murder upnm naval cadet zulfarhan osman zulkarnain mention high court nov
neutral,positive,3/11/2021 3:06,zuhairy7402,setuju pendapat yb
