conversation_id_str,created_at,full_text,lang,username,relevance_label,sentiment_auto,sentiment_manual
9.13e+17,28/9/2017 10:02,gruesome bullying case year deeply trouble every malaysian zulfarhan osman zulkarnain nhaveen,en,twt_malaysia,relevan,negative,negative
9.26e+17,2/11/2017 0:04,case uni student charge murder upnm naval cadet zulfarhan osman zulkarnain mention high court nov,en,baikragu,relevan,negative,neutral
9.29e+17,10/11/2017 7:30,six upnm student plead guilty abet murder fellow university cadet officer zulfarhan osman,en,AstroRadioNews,relevan,negative,neutral
9.31e+17,17/11/2017 10:09,malaysian tragedy torture murder cadet zulfarhan osman,en,SCMPNews,relevan,negative,neutral
9.31e+17,17/11/2017 10:10,malaysian tragedy torture murder cadet zulfarhan osman,en,AndyVermaut,relevan,negative,neutral
9.31e+17,17/11/2017 10:15,ceritalahasean malaysian tragedy death cadet zulfarhan osman,en,501Awani,relevan,negative,neutral
9.31e+17,17/11/2017 10:17,ceritalahasean malaysian tragedy death cadet zulfarhan osman,en,mat4g13,relevan,negative,neutral
9.31e+17,17/11/2017 10:27,ceritalah asean malaysian tragedy death cadet zulfarhan osman,en,MediaLantang,relevan,negative,neutral
9.31e+17,17/11/2017 10:56,ceritalah asean malaysian tragedy death cadet zulfarhan osman,en,UpdatesMalaysia,relevan,negative,neutral
9.31e+17,17/11/2017 11:03,parent malaysian cadet zulfarhan osman burn steam iron determine find,en,ivanzhai,relevan,positive,neutral
9.31e+17,17/11/2017 11:16,malaysian tragedy torture murder cadet zulfarhan osman,en,NamVietNetwork,relevan,negative,neutral
9.31e+17,17/11/2017 11:40,malaysian tragedy torture murder cadet zulfarhan osman,en,SCMPNews,relevan,negative,neutral
9.31e+17,17/11/2017 12:19,sound familiar ustlaw yet consider plausibility heartcondition defense aegis juris kind lawyer breed malaysian tragedy murder cadet zulfarhan osman,en,theginoubasgopo,relevan,negative,negative
9.32e+17,17/11/2017 14:40,justice zulfarhan osman,en,fariqzzz,relevan,positive,positive
9.32e+17,17/11/2017 18:20,malaysian tragedy torture murder cadet zulfarhan osman,en,SCMPNews,relevan,negative,neutral
9.32e+17,19/11/2017 6:55,malaysian tragedy murder cadet zulfarhan osman,en,poolrednuts,relevan,negative,neutral
9.36e+17,29/11/2017 13:54,happy birthday arwah zulfarhan osman,en,amieyrazmi_,relevan,positive,negative
9.42e+17,15/12/2017 8:25,parent cadet zulfarhan osman continue seek answer death son burnt steam iron beaten succumb injury week later read,en,thefutureconomy,relevan,negative,neutral
9.45e+17,24/12/2017 6:19,freemalaysiatoday student death cast spotlight bully kuala lumpur two june year issue country nhaveen navy cadet officer zulfarhan osman zul,en,MalaysiaNews,relevan,negative,neutral
9.45e+17,24/12/2017 7:40,themalaymail student death cast spotlight bully kuala lumpur dec two june year issue country nhaveen navy cadet officer zulfarhan osman,en,MalaysiaNews,relevan,negative,neutral
9.5e+17,7/1/2018 5:57,malaysian tragedy murder cadet zulfarhan osman via,en,AlastairSiu,relevan,negative,neutral
9.58e+17,29/1/2018 23:15,star gt prosecution prove upnm cadet torture death kuala lumpur universiti pertahanan nasional malaysia student officer zulfarhan osman zulkar­nain due fact beat,en,InsJournal,relevan,negative,neutral
9.58e+17,30/1/2018 8:00,themalaymail zulfarhan murder trial prosecution prove upnm student involve kuala lumpur jan death universiti pertahanan nasional malaysia student cadet officer osman zulkarnai,en,MalaysiaNews,relevan,negative,neutral
9.79e+17,28/3/2018 15:04,cadet officer dehydrate visit clinic say doctor wound zulfarhan osman zulkarnain heal well vomit several time,en,rusahang,relevan,positive,negative
9.89e+17,26/4/2018 11:27,witness unsure zulfarhan osman allergic prescribed medication,en,bernamadotcom,relevan,negative,neutral
1e+18,31/5/2018 16:36,year sahabat laugh amp joke share thought nonsense tear madness alfatihah zulfarhan osman know great,en,_lalawatson,relevan,positive,positive
1.01e+18,26/6/2018 11:45,witness zulfarhan osman deny take laptop,en,malaymail,relevan,negative,neutral
1.01e+18,26/6/2018 11:51,zulfarhan osman say take laptop witness,en,bernamadotcom,relevan,neutral,neutral
1.01e+18,26/6/2018 12:14,zulfarhan osman say take laptop witness,en,theSundaily,relevan,neutral,neutral
1.01e+18,27/6/2018 12:14,justice must prevail zulfarhan osmanthis torture murder life prove rakyat one law ph gov,en,dawnmalaysia,relevan,negative,negative
1.01e+18,27/6/2018 14:42,saddest part zulfarhan osmans death hand people call friend,en,myrajojooo,relevan,negative,negative
1.01e+18,27/6/2018 15:26,witness write poisonpen letter allege zulfarhan osman abuse,en,malaymail,relevan,negative,neutral
1.01e+18,29/6/2018 1:32,sedihnya baca jantan betul pukul ramai ikat mati terbakar sial,in,friedchikenbabe,relevan,negative,negative
1.01e+18,29/6/2018 1:35,baca comment sekali nampak kau kata tertuduh gelak pergh menyirap siot biar jalan jatuh longkang lepas pinggang patah lumpuh tersiksa hidup accident kaki putus tangan aihh layak tentera,in,ifwatizaham,relevan,neutral,negative
1.01e+18,29/6/2018 2:27,padia ayah tertuduh ugut saksi suruh tukar statement anak dah buat hal berani tanggung la,in,harithnurhaq,relevan,neutral,negative
1.01e+18,29/6/2018 2:28,wan na fcking dead bastard deserve live juz laptop universiti kill guy dasar setan bertopengkan manusia betul,en,shahzshams,relevan,negative,negative
1.01e+18,29/6/2018 5:05,syak atuk dulu selalu backup salah ayah anak kalau ada keturunan lahir ibu bapa jeling bila orang tegur,in,nordayan1,relevan,neutral,negative
1.01e+18,29/6/2018 5:07,allah im speechless allahuakbar,in,Hxnxzz,relevan,neutral,negative
1.01e+18,29/6/2018 5:48,case selesai lgi,in,jokercrew69,relevan,neutral,neutral
1.01e+18,29/6/2018 7:22,may justice serve upnm cadet officer zulfarhan osman zulkarnain torture student high court tell,en,peachjahashim,relevan,negative,positive
1.01e+18,29/6/2018 7:48,teruknya,in,nunuuuela,relevan,neutral,negative
1.01e+18,29/6/2018 8:24,allah kau bagi culik diseksa macam cerita saw,in,manjopie,relevan,neutral,negative
1.01e+18,29/6/2018 9:02,mati la pesalah guna hidup tiada otak ingat senang mak ayah jaga kecik bila besar kena bunuh orang bodoh belajar macam elok masuk uni tapi bebal takleh beza baik buruk,in,_ayunicorn_,relevan,neutral,negative
1.01e+18,29/6/2018 10:28,normal everyone soft side honest decease suffer lot,en,maxxximus46,relevan,neutral,negative
1.01e+18,29/6/2018 10:49,even kena nd burn injury terjirus air masak dah mengelupur apatah arwah ditekap seterika wap berkali kali allah,in,syhrhisa_,relevan,negative,negative
1.01e+18,29/6/2018 11:24,sanggup nak baca tajuk sah terbayangbayang azabnya,in,cik_iira,relevan,neutral,negative
1.01e+18,29/6/2018 11:55,god bless universiti reason need lawyer like good self defend innocent,en,tj_wong,relevan,positive,positive
1.01e+18,29/6/2018 12:18,cepatlah hukum mati mandatori dekat dieorang allah geramnya jantan bodoh macam bukan manusia binatang namanya mak bapak anak membunuh still nak selamatkan alahai,in,seowonra,relevan,neutral,negative
1.01e+18,29/6/2018 13:30,upnm cadet officer zulfarhan osman zulkarnain torture student high court tell,en,znyisml,relevan,negative,neutral
1.01e+18,29/6/2018 13:40,imagine macam mana arwah rasa bila kena seksa sakit hati baca artikel,in,_iirfann_,relevan,negative,negative
1.01e+18,29/6/2018 14:58,attempt ayah nak cover son crime justiceforzulfarhan,en,msayla_,relevan,positive,negative
1.01e+18,29/6/2018 17:02,entah macam mana perasan pencuri sebenar kan sampai mati hidup tenang,in,azlancepticon,relevan,neutral,negative
1.01e+18,29/6/2018 17:25,sapa terlibat kes zul dont deserve second chance masa buat takpikir sampai melayang nyawa member,in,nsuffiah_,relevan,negative,negative
1.01e+18,29/6/2018 18:41,sebab laptop hmmmm,en,FaizHyo,relevan,neutral,neutral
1.01e+18,30/6/2018 1:45,sambil baca terbayangkan macam mana arwah kena seksa,in,norarsmn,relevan,neutral,negative
1.01e+18,30/6/2018 2:16,painful read may justice prevail thought decease parent,en,dnonfire,relevan,positive,positive
1.01e+18,30/6/2018 5:11,gosh base article ada parent defend anak buat kesalahan smh,in,_jihaaa,relevan,negative,negative
1.01e+18,30/6/2018 6:26,nak tanya la kenapa saksi report lecturer ataupun sesiapa jelah tolong panggil kawan jugak leraikan buli im curioussss,in,salsabilaaaa88,relevan,neutral,neutral
1.03e+18,16/8/2018 14:26,friend send poisonpen letter abuse zulfarhan osman avoid similar treatment,en,malaymail,relevan,negative,neutral
1.05e+18,16/10/2018 13:17,agree especially bila terfikir macam kes zulfarhan osman torture death even murderer kena talus gantung penjara seumur hidup still get degree ade thing achieve tapi pain keluarga mangsa,en,EncheMz,relevan,negative,negative
1.06e+18,24/10/2018 14:51,tomorrow court hear zulfarhan osman murder case,en,baikragu,relevan,negative,neutral
1.06e+18,26/10/2018 9:21,next hearing th october friend send poisonpen letter abuse zulfarhan osman avoid similar treatment malay mail,en,baikragu,relevan,negative,neutral
1.06e+18,12/11/2018 12:48,saw hit zulfarhan osman hot iron witness tell court,en,malaymail,relevan,neutral,neutral
1.06e+18,12/11/2018 12:52,saw hit used hot iron zulfarhan osman witness,en,bernamadotcom,relevan,neutral,neutral
1.06e+18,12/11/2018 23:09,saw hit used hot iron zulfarhan osman witness,en,sarawakvoice,relevan,neutral,neutral
1.09e+18,23/1/2019 13:10,nstcourt witness saw one accuse cadet marine officer zulfarhan osman zulkarnain murder case hold steam iron,en,NST_Online,relevan,negative,neutral
1.09e+18,23/1/2019 23:08,alfatihah arwah adib,in,xziexdnxn,relevan,neutral,neutral
1.09e+18,24/1/2019 2:50,bully totally acceptable cane mother felt sad hurt look amount injury boy body one deserve die manner may world peace love,en,szehighli5ht,relevan,negative,negative
1.09e+18,24/1/2019 4:07,salah hakim ketuk tukul jatuhkan hukuman belum,in,mhdfdllh,relevan,neutral,neutral
1.09e+18,24/1/2019 5:36,justice zulfarhan osman,en,Fareez11,relevan,positive,positive
1.09e+18,24/1/2019 7:11,kesian arwah hmmdekat dunia lari manusia kome tipu tapi bila allah sampai akhirat weyh tanggung,in,ShashaGurlz96,relevan,neutral,negative
1.09e+18,24/1/2019 9:27,jangan lupa keadilan indira suami beliau gagal ditemui,in,MaslenAhmed,relevan,neutral,neutral
1.09e+18,24/1/2019 10:25,universiti know justiceforzulfarhan,en,feyra_daisy,relevan,neutral,neutral
1.09e+18,24/1/2019 10:35,tenang senang lenang hidup bila dah bunuh orang,in,KhadijahSuhaimy,relevan,neutral,negative
1.09e+18,24/1/2019 11:00,notorious barbaric murder seem implied punishment towards accuse,en,Olivedeen1,relevan,negative,negative
1.09e+18,24/1/2019 12:02,kes pendakwaan kan belum masuk pembelaan,in,zomdykiwi,relevan,neutral,neutral
1.09e+18,24/1/2019 14:03,sedih dri bdk cina eksiden msuk laut tusebab disiksa hdupallahubetapa sakitnyamoga syurga buatmualfatihahmoga si pelaku dihukum setimpalnya,in,sweetgegel93,relevan,negative,negative
1.09e+18,24/1/2019 14:09,statement nie tuju dekat budak upnm nak buli apa xperlu la smpai mati anak orang tapi budaya kan bangang mak bapak xdidik betulbetulxsemua sebab segelintir agaknye lahir otak xcukup berkembang satu dapat nama busuk,in,SufeYusof,relevan,positive,negative
1.09e+18,24/1/2019 14:24,human inhuman disgust,en,noorlianamhmd,relevan,negative,negative
1.09e+18,24/1/2019 15:47,binatang macam de perasaan masa pembuli tengok arwah kena tekap seterika allah seksa nya tahan sakit semoga syurga tempat zulfarhan,in,nesyawani,relevan,positive,negative
1.09e+18,24/1/2019 16:38,kena flashbalik kes,in,ariyako,relevan,positive,neutral
1.09e+18,24/1/2019 17:11,semoga allah permudahkan urusan keluarga arwah pihak terlibat,in,peachteaais,relevan,positive,positive
1.09e+18,24/1/2019 23:27,someone die thing even address,en,asrafkaizen,relevan,negative,negative
1.09e+18,25/1/2019 1:07,moga allah terus beri jalan kearah ampuni dosadosa telah lakukan,in,suhana_kmrdn,relevan,neutral,positive
1.09e+18,25/1/2019 1:51,kalau la kan maafkan smpai mampus kepada pesalah adil wtf,in,AzizulPapajoe,relevan,negative,negative
1.09e+18,25/1/2019 4:06,sakit hati mak menanggung kesedihan anak nya mati cara macam,in,hoepyie,relevan,negative,negative
1.09e+18,25/1/2019 4:24,harapharap lunyai kena pijak seniorsenior penjara kelak jangan bagi mati pecah patah riuk pastu belum sembuh sangat tetapi dah sampai semula amin rabbal alamin,in,lynnmael,relevan,neutral,negative
1.09e+18,25/1/2019 13:18,kalau kena mandatori orang takpe mak ayah kehilangan anak teruk tahu dak ee gerammm,in,yayazarif,relevan,neutral,negative
1.09e+18,25/1/2019 16:31,lepas belasah pulak mampus,in,ttamiiiii_,relevan,neutral,negative
1.09e+18,25/1/2019 22:01,allahai selesai kesiaannn,in,inamohd,relevan,neutral,negative
1.09e+18,26/1/2019 0:04,scare place upnm huhu lebih baik masuk kolej biasa,in,ummi_nun,relevan,negative,negative
1.09e+18,26/1/2019 16:02,lupakami kan lupa apa pembunuhpembunuh kejam buat dekat arwah semoga kebenaran terbukti akn mendapat hukuman secepat mungkin,in,heyitsmeshiba,relevan,positive,negative
1.09e+18,26/1/2019 22:07,kena iron sikit dah nak nangis,in,Ayuzulkifli2,relevan,neutral,negative
1.09e+18,3/7/2019 3:42,balik kes please,en,orchidsandraa,relevan,neutral,neutral
1.15e+18,7/7/2019 18:19,zulfarhan osman friends brother poor amp family,en,blcksoya,relevan,negative,negative
1.15e+18,8/7/2019 1:48,long year wait news today day may justice prevail allahyarham zulfarhan osman zulkarnain,en,frhaieniskndr,relevan,positive,positive
1.15e+18,8/7/2019 9:25,case yearold cadet officer upnm zulfarhan osman zulkarnain allegedly murder tortured student last year due dispute laptop one cruel bullying malaysia,en,HanaHunney99,relevan,negative,neutral
1.15e+18,8/7/2019 12:00,rt asrulmm news matter today july outcome allahyarham zulfarhan osman zulkarnain trial alfatihah bu tz,en,hwakken,relevan,neutral,neutral
1.15e+18,8/7/2019 14:53,thanks later malas membaca seriously kritikal sebab bertukar ubat hingga mmbawa kepada kematian,in,SyakirDahInsaf,relevan,positive,neutral
1.15e+18,8/7/2019 15:19,semoga ada justice boy please,en,qamraqurratuain,relevan,positive,positive
1.09e+18,8/7/2019 15:43,jangan maafkan merekamereka zalim nii,in,xpack60,relevan,neutral,negative
1.15e+18,8/7/2019 17:30,semoga terbela adik,in,rarahahayuyu12,relevan,positive,positive
1.15e+18,8/7/2019 23:07,batu nisan pelakunya,in,xpack60,relevan,neutral,negative
1.15e+18,9/7/2019 0:36,semoga nasib arwah keluarga terbela,in,HafizShapie,relevan,positive,positive
1.15e+18,9/7/2019 1:10,geram en baca pandai doh lawyer okt semua bayar kk banyak nak mampus duit mak bapak pembunuh,in,hannannorizan,relevan,neutral,negative
1.15e+18,9/7/2019 2:03,kalau dekat tempat ibu bapa mangsa mohon allah jatuhkan bala si pelaku doa orang teraniaya insyallah makbul,in,CarminePapillon,relevan,negative,negative
1.15e+18,9/7/2019 4:35,sempat ramai mendoakan supaya arwah dapat keadilan,in,mixbear09,relevan,neutral,positive
1.15e+18,9/7/2019 4:57,save gambar pembunuh antar santau sihir segala bagai,in,monstermasa28,relevan,positive,negative
1.15e+18,9/7/2019 4:58,membela pesalah si peguam wonder come sleep night,en,Mtqjam,relevan,neutral,negative
1.15e+18,9/7/2019 5:10,ada baca dekat story adik arwah katanya allergic antibiotic sebab waktu suspect bawak pergi klinik dapat treatment makin teruk sebenarnya surat refer hosp tapi depa,in,Balmutalib,relevan,negative,neutral
1.15e+18,9/7/2019 6:08,geram sial baca,in,yoizfxiz,relevan,neutral,negative
1.15e+18,9/7/2019 6:31,doa jela,in,sayabaiktaw,relevan,negative,positive
1.15e+18,9/7/2019 6:55,maaf nak tanya okt apa,in,noorsafiaa,relevan,neutral,neutral
1.15e+18,9/7/2019 7:17,mana budakbudak dapat duit hire lawyer profil tinggi gila babi siot,in,yoizfxiz,relevan,neutral,negative
1.15e+18,9/7/2019 11:28,ramalanya budakbudak terlepas sebab ada duit semua bersalah,in,mukaserious,relevan,neutral,neutral
1.15e+18,9/7/2019 12:46,satu masa nanti kes filemkan,in,wanxhana,relevan,neutral,neutral
1.15e+18,9/7/2019 15:35,lepas nak iron orang,in,PulutKuning000,relevan,neutral,negative
1.15e+18,10/7/2019 7:40,malaysia dah bunuh,in,pejuangmaya,relevan,neutral,negative
1.15e+18,10/7/2019 8:21,kalau family arwah bawak masuk doktor bidas balik ishh igt geram tengok drama korea nih rupanya,in,ruchdiyb,relevan,neutral,negative
1.15e+18,10/7/2019 10:55,lawyer dorang bela sampai lepas terus supaya kurangkan hukuman,in,fqfaiq,relevan,neutral,neutral
1.15e+18,10/7/2019 11:11,lepastu terlepaslah hukuman membunuh dah bunuh orang nak salahkan ubat sial,in,himeiraaa,relevan,neutral,negative
1.15e+18,12/7/2019 1:55,malaysian tragedy murder cadet zulfarhan osman,en,nrlsyhdsymra,relevan,negative,neutral
1.16e+18,30/7/2019 5:47,im highly hop case solve tomorrow rightful justice zulfarhan osman zulkarnain wrongdoer,en,frhaieniskndr,relevan,positive,positive
1.16e+18,31/7/2019 1:05,bismillah may justice prevail arwah zulfarhan osman alfatihah,en,ashqeennnrazak,relevan,positive,positive
1.16e+18,31/7/2019 1:17,bismillah may justice prevail arwah zulfarhan osman alfatihah,en,HaimanxHaikal,relevan,positive,positive
1.16e+18,31/7/2019 1:48,pray amp hope justice prevail today arwah zulfarhan osman justiceforzulfarhan,en,nabilahrshdn,relevan,positive,positive
1.16e+18,31/7/2019 3:49,sorang kenapa bebas sesiapa jelaskan faham,in,snoraien,relevan,neutral,neutral
1.16e+18,31/7/2019 3:54,jauh perjalanan kes semoga allah permudahkan,in,jass_fun,relevan,positive,positive
1.16e+18,31/7/2019 3:58,masa buat kesalahan ingat hukuman menanti dah terhantuk baru nak terngadah sebelum beringat,in,FlpNajiha,relevan,negative,negative
1.16e+18,31/7/2019 4:05,may allah ease everything justiceforzulfarhan,en,justllyza,relevan,positive,positive
1.16e+18,31/7/2019 4:13,nstnation men allegedly murder upnm cadet officer zulfarhan osman zulkarnain order enter defence justicefarhan,en,NST_Online,relevan,negative,neutral
1.16e+18,31/7/2019 4:22,diarah bela diri bermakna legal meaning,in,AnnurMedina,relevan,positive,neutral
1.16e+18,31/7/2019 4:42,tahniah pasukan pendakwaan,in,RaziAriff,relevan,neutral,positive
1.16e+18,31/7/2019 4:45,nstnation men order enter defence allegedly murdering national university malaysia upnm cadet officer zulfarhan osman zulkarnain distinctive decidedly audible sigh relief pack gallery,en,NST_Online,relevan,neutral,neutral
1.16e+18,31/7/2019 5:27,tiada siapa curi laptop sebenarnya,in,Ruwaidah_m,relevan,neutral,negative
1.16e+18,31/7/2019 5:58,yeah gantung menghitung hari,in,Rahmanators,relevan,positive,negative
1.16e+18,31/7/2019 6:05,jangan main anak orang ye sesal kmudian ada guna ibarat telur hujung tnduk tunggu masa nak pecah,in,zulkifIi,relevan,neutral,negative
1.16e+18,31/7/2019 6:10,know intention gooddeeply inside think like always expect penjara tahun make fully repent let repeat sentence zulfarhan osman dipukul diseterika sampai mati change mind,en,chlqjarbluv,relevan,negative,negative
1.16e+18,31/7/2019 7:46,zulfarhan osman case thing necessary triumph evil good man nothing alfatihah,en,shakiraalias_,relevan,positive,negative
1.16e+18,31/7/2019 9:48,icymi suspect charge murder zulfarhan osman zulkarnain order enter defense,en,RohanBeg,relevan,negative,neutral
1.16e+18,31/7/2019 10:32,murder zulfarhan osman,en,Daddylishes,relevan,negative,neutral
1.16e+18,31/7/2019 12:18,national defence university malaysia student order kl high court enter murder case cadet officer zulfarhan osman zulkarnain come prosecution successfully prove prima facie end submission,en,NewsBFM,relevan,negative,neutral
1.16e+18,31/7/2019 12:24,guy murderer perhaps allah forgive unfortunately zulfarhan osman longer apology best luck,en,Eilarashid,relevan,positive,negative
1.16e+18,31/7/2019 12:35,sedih bila kes keluar balik teringat kronologi walau lama baca dulu geram semua ada ingat alhamdulillah settle,in,anak_samat_ke_5,relevan,positive,negative
1.16e+18,1/8/2019 1:58,saddest part zulfarhan osmans death hand people call friend,en,nadiazmn___,relevan,negative,negative
1.16e+18,1/8/2019 2:08,read chronology arwah zulfarhan osman besides culprit order enter defence really hope trainer spread surat layang via whatsapp court martialed,en,MrHairulAnuar,relevan,positive,negative
1.16e+18,1/8/2019 2:48,today men order high court kuala lumpur enter defence allegedly murdering national university malaysia upnm cadet officer zulfarhan osman zulkarnain two year ago,en,thebestfikrah,relevan,negative,neutral
1.16e+18,1/8/2019 13:54,tiada issue official statement regard zulfarhan osman punya case,en,AbdullahSazili,relevan,neutral,neutral
1.16e+18,2/8/2019 6:55,agree long perverse culture institutionalise bully intimidation toxic masculinity allow thrive zulfarhan osman zulkarnain definitely last victim,en,IMMikhailHafiz,relevan,negative,negative
1.16e+18,2/8/2019 7:22,upnm predictably quick defend allegation rag issue formal apology parent zulfarhan osman zulkarnain fail protect son prevent murder take responsibility incident,en,IMMikhailHafiz,relevan,negative,negative
1.19e+18,5/11/2019 1:25,first accuse admits place hot iron zulfarhan osman thesundaily malaysia upnm torture couts courtcase thesun,en,theSundaily,relevan,neutral,neutral
1.19e+18,5/11/2019 5:20,latest first accuse admits place hot iron slain navy cadet zulfarhan osman,en,watsupasia,relevan,neutral,neutral
1.19e+18,5/11/2019 12:45,first accuse murder universiti pertahanan nasional malaysia upnm naval cadet officer zulfarhan osman zulkarnain admit place hot iron victim sole knee,en,staronline,relevan,negative,neutral
1.19e+18,5/11/2019 15:36,accuse apologises family murder cadet officer muhammad azamuddin mad sofi second take witness stand tear apologised member zulfarhan osman zulkarnain die physical abuse,en,lawreviewUM,relevan,negative,neutral
1.19e+18,6/11/2019 3:46,justice truth late zulfarhan osman zulkarnain family al fatihah,en,PuanManisDonut,relevan,positive,positive
1.2e+18,3/12/2019 12:38,nstnation fourth accuse trial involve murder national defence university malaysia upnm cadet officer zulfarhan osman zulkarnain claim know steam iron use interrogation hot,en,NST_Online,relevan,negative,neutral
1.23e+18,28/2/2020 14:25,one say help buy food zulfarhan osman zulkarnain day stay room fmtnews,en,fmtoday,relevan,neutral,neutral
